fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany,fldFactPageUrl,fldFactMapUrl,fldDateUpdated,fldDateUpdatedMax,DatesyncNPD
SINDRE,Equinor Energy AS,Producing,34/10-55 S,26.03.2017,North sea,BUSINESS ARRANGEMENT AREA,BRIME UNIT,,41319867,29401178,8102,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=29401178,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=29401178,02.01.2024,02.01.2024,22.03.2024
SKARV,Aker BP ASA,Producing,6507/5-1,03.05.1998,Norwegian sea,BUSINESS ARRANGEMENT AREA,SKARV UNIT,Sandnessjøen,4468539,4704482,3683,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4704482,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4704482,02.01.2024,01.03.2024,22.03.2024
SKIRNE,TotalEnergies EP Norge AS,Shut down,25/5-3,26.03.1990,North sea,PRODUCTION LICENSE,102,,21620,2138816,1488,35000016,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=2138816,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=2138816,02.01.2024,02.01.2024,22.03.2024
SKOGUL,Aker BP ASA,Producing,25/1-11 R,26.04.2010,North sea,PRODUCTION LICENSE,460,,4910195,31164600,6368,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=31164600,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=31164600,02.01.2024,02.01.2024,22.03.2024
SKULD,Equinor Energy AS,Producing,6608/10-12,21.12.2008,Norwegian sea,PRODUCTION LICENSE,128,Sandnessjøen,21836,21350124,5949,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21350124,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21350124,02.01.2024,02.01.2024,22.03.2024
SLEIPNER VEST,Equinor Energy AS,Producing,15/6-3,19.12.1974,North sea,BUSINESS ARRANGEMENT AREA,SLEIPNER VEST UNIT,Dusavik,40848,43457,318,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43457,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43457,02.01.2024,01.03.2024,22.03.2024
SLEIPNER ØST,Equinor Energy AS,Producing,15/9-9,14.07.1981,North sea,BUSINESS ARRANGEMENT AREA,SLEIPNER ØST UNIT,Dusavik,41211,43478,328,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43478,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43478,02.01.2024,01.03.2024,22.03.2024
SNORRE,Equinor Energy AS,Producing,34/4-1,16.12.1979,North sea,BUSINESS ARRANGEMENT AREA,SNORRE UNIT,Florø,40906,43718,422,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43718,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43718,02.01.2024,02.01.2024,22.03.2024
SNØHVIT,Equinor Energy AS,Producing,7121/4-1,27.10.1984,Barents sea,BUSINESS ARRANGEMENT AREA,SNØHVIT UNIT,Hammerfest,1333943,2053062,135,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=2053062,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=2053062,02.01.2024,01.03.2024,22.03.2024
SOLVEIG,Aker BP ASA,Producing,16/4-6 S,03.05.2013,North sea,PRODUCTION LICENSE,359,Tananger,3810373,34833011,7098,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=34833011,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=34833011,02.01.2024,02.01.2024,22.03.2024
STATFJORD,Equinor Energy AS,Producing,33/12-1,18.04.1974,North sea,BUSINESS ARRANGEMENT AREA,STATFJORD UNIT,Mongstad,41686,43658,417,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43658,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43658,02.01.2024,01.03.2024,22.03.2024
STATFJORD NORD,Equinor Energy AS,Producing,33/9-8,18.02.1977,North sea,PRODUCTION LICENSE,037,Mongstad,21084,43679,413,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43679,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43679,02.01.2024,01.03.2024,22.03.2024
STATFJORD ØST,Equinor Energy AS,Producing,33/9-7,07.11.1976,North sea,BUSINESS ARRANGEMENT AREA,STATFJORD ØST UNIT,Mongstad,41233,43672,412,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43672,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43672,02.01.2024,01.03.2024,22.03.2024
SVALIN,Equinor Energy AS,Producing,25/11-16,24.07.1992,North sea,PRODUCTION LICENSE,169,Dusavik,22164,22507971,1920,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=22507971,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=22507971,02.01.2024,02.01.2024,22.03.2024
SYGNA,Equinor Energy AS,Producing,33/9-19 S,23.07.1996,North sea,BUSINESS ARRANGEMENT AREA,SYGNA UNIT,Florø,96205,104718,2830,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=104718,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=104718,02.01.2024,09.02.2024,22.03.2024
